epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,2350.55,0.70097,0.56902,1.28668,0.99219,1,0.995,0.71615,1.04071,0.73983,1.51178,0.0008714,0.0008714,0.0008714
59,2387.4,0.64813,0.5561,1.18338,1,0.38895,0.46385,0.28101,1.71444,2.32868,1.92805,0.0008516,0.0008516,0.0008516
60,2423.87,0.66845,0.57259,1.23417,0.97511,0.4,0.53325,0.38188,0.99432,2.17978,1.51569,0.0008318,0.0008318,0.0008318
61,2463.87,0.70431,0.60073,1.20998,1,0.95756,0.995,0.66578,1.25005,1.21868,1.58245,0.000812,0.000812,0.000812
62,2504.01,0.72061,0.572,1.26051,0.9897,1,0.995,0.67029,1.19448,0.72541,1.64092,0.0007922,0.0007922,0.0007922
63,2542.96,0.68034,0.5868,1.20938,0.98581,1,0.995,0.71621,1.08881,0.76513,1.43983,0.0007724,0.0007724,0.0007724
64,2583.98,0.68246,0.55847,1.21558,0.98793,1,0.995,0.75243,0.8664,0.83295,1.26051,0.0007526,0.0007526,0.0007526
65,2624.22,0.61868,0.56044,1.21287,0.98846,1,0.995,0.78683,1.01111,0.75128,1.43882,0.0007328,0.0007328,0.0007328
66,2662.88,0.61301,0.50054,1.18963,0.98508,1,0.995,0.75075,1.0217,0.7757,1.66176,0.000713,0.000713,0.000713
67,2702.46,0.56216,0.50427,1.12522,0.97324,1,0.995,0.6233,1.27788,0.81214,1.67252,0.0006932,0.0006932,0.0006932
68,2741.45,0.64238,0.52142,1.20619,0.96676,1,0.995,0.57298,1.21519,0.80223,1.43357,0.0006734,0.0006734,0.0006734
69,2780.58,0.61124,0.51398,1.17327,0.94606,1,0.995,0.73446,0.97024,0.78984,1.19461,0.0006536,0.0006536,0.0006536
70,2820.55,0.6073,0.4999,1.1557,0.98715,1,0.995,0.75535,0.94476,0.78008,1.24727,0.0006338,0.0006338,0.0006338
71,2861.86,0.60221,0.48678,1.15249,0.98613,1,0.995,0.74244,0.99378,0.67804,1.29582,0.000614,0.000614,0.000614
72,2901.55,0.55401,0.48716,1.13352,0.9889,1,0.995,0.72801,0.97108,0.62617,1.29851,0.0005942,0.0005942,0.0005942
73,2943.79,0.56909,0.48261,1.12757,0.99021,1,0.995,0.74454,0.96666,0.59909,1.30109,0.0005744,0.0005744,0.0005744
74,2983.75,0.54141,0.45477,1.11749,0.99011,1,0.995,0.77453,0.90521,0.5631,1.30788,0.0005546,0.0005546,0.0005546
75,3023.04,0.67063,0.56427,1.23982,0.98966,1,0.995,0.74571,0.84432,0.58186,1.28269,0.0005348,0.0005348,0.0005348
76,3062.11,0.555,0.44251,1.13299,0.9886,1,0.995,0.76055,0.90641,0.60106,1.26642,0.000515,0.000515,0.000515
77,3102.24,0.56591,0.49725,1.12862,0.9878,1,0.995,0.76054,0.8706,0.55525,1.25213,0.0004952,0.0004952,0.0004952
78,3142.76,0.52763,0.43854,1.09168,0.99036,1,0.995,0.74216,0.90357,0.54149,1.33619,0.0004754,0.0004754,0.0004754
79,3183.37,0.58753,0.5043,1.19992,0.99019,1,0.995,0.77854,0.90444,0.57761,1.35708,0.0004556,0.0004556,0.0004556
80,3225.12,0.52766,0.4671,1.09027,0.99044,1,0.995,0.73263,0.93446,0.59623,1.36835,0.0004358,0.0004358,0.0004358
81,3264.07,0.59629,0.55046,1.17194,0.9907,1,0.995,0.67693,0.98482,0.62843,1.45112,0.000416,0.000416,0.000416
82,3304.5,0.54388,0.47306,1.11108,0.99042,1,0.995,0.74678,0.94672,0.59432,1.37616,0.0003962,0.0003962,0.0003962
83,3345.75,0.55786,0.46647,1.15,0.99031,1,0.995,0.74229,0.90045,0.49544,1.30689,0.0003764,0.0003764,0.0003764
84,3385.99,0.58038,0.44504,1.0921,0.99085,1,0.995,0.79254,0.78762,0.49741,1.22246,0.0003566,0.0003566,0.0003566
85,3427.46,0.57306,0.45655,1.1264,0.99083,1,0.995,0.80984,0.78816,0.55004,1.24951,0.0003368,0.0003368,0.0003368
86,3466.93,0.56007,0.44951,1.12818,0.99095,1,0.995,0.773,0.90044,0.53868,1.29359,0.000317,0.000317,0.000317
87,3507.23,0.55604,0.48106,1.12094,0.99044,1,0.995,0.76902,0.92112,0.53284,1.31375,0.0002972,0.0002972,0.0002972
88,3547.44,0.63374,0.4761,1.21907,0.99034,1,0.995,0.78008,0.93321,0.53192,1.35529,0.0002774,0.0002774,0.0002774
89,3587.08,0.45766,0.4157,1.054,0.98974,1,0.995,0.79654,0.91321,0.5377,1.38386,0.0002576,0.0002576,0.0002576
90,3627.46,0.55649,0.45022,1.10276,0.99037,1,0.995,0.79342,0.90745,0.51505,1.38852,0.0002378,0.0002378,0.0002378
91,3667.36,0.50113,0.56795,1.20487,0.99068,1,0.995,0.71921,0.94876,0.52881,1.43117,0.000218,0.000218,0.000218
92,3706.67,0.44779,0.48625,1.20137,0.99036,1,0.995,0.71899,0.98365,0.54623,1.51622,0.0001982,0.0001982,0.0001982
93,3746.33,0.43877,0.43777,1.15694,0.99041,1,0.995,0.70694,1.00956,0.56505,1.52562,0.0001784,0.0001784,0.0001784
94,3784.65,0.40952,0.39953,1.14969,0.99051,1,0.995,0.71628,1.04456,0.5827,1.52913,0.0001586,0.0001586,0.0001586
95,3823.6,0.4186,0.41505,1.12485,0.99029,1,0.995,0.71627,1.01825,0.57386,1.45415,0.0001388,0.0001388,0.0001388
96,3862.45,0.41553,0.40324,1.0803,0.99032,1,0.995,0.74413,0.96953,0.54953,1.40859,0.000119,0.000119,0.000119
97,3901.87,0.41322,0.39724,1.13952,0.9905,1,0.995,0.74413,0.95246,0.5496,1.40187,9.92e-05,9.92e-05,9.92e-05
98,3942.07,0.4592,0.41305,1.23199,0.99058,1,0.995,0.769,0.94738,0.55939,1.4101,7.94e-05,7.94e-05,7.94e-05
99,3981.39,0.36667,0.37547,1.12214,0.99065,1,0.995,0.769,0.93573,0.57715,1.41534,5.96e-05,5.96e-05,5.96e-05
100,4020.91,0.38212,0.37217,1.08997,0.99074,1,0.995,0.769,0.93739,0.57119,1.42151,3.98e-05,3.98e-05,3.98e-05
